Age,Education,Relationship_Status,Income,Children,Wine ($),Fruit ($),Meat ($),Fish ($),Sweets ($),Gold_Products ($),Discount_Purchases,Web_Purchases,Catalog_Purchases,Store_Purchases,Days_Enrolled,Avg_Purch_Freq,Avg_Spend ($),Accept_One,Accept_Rate,Cust_Accept (%)
70,Master,Married,80184.0,0,1035,134,670,25,38,0,1,6,3,10,440.0,22.0,95.1,1,(2/6),33.33333333333333
49,Graduation,Divorced,30630.0,2,27,1,12,2,0,10,2,2,0,3,760.0,108.57142857142857,7.428571428571429,0,(0/6),0.0
27,Master,Single,73454.0,0,982,73,351,56,14,175,1,2,4,6,782.0,60.15384615384615,127.0,1,(1/6),16.666666666666664
23,Graduation,Married,42691.0,0,179,2,64,38,17,58,1,5,1,6,695.0,53.46153846153846,27.53846153846154,0,(0/6),0.0
61,Graduation,Married,70503.0,0,1379,33,216,0,33,66,1,2,4,9,337.0,21.0625,107.9375,1,(2/6),33.33333333333333
27,Graduation,Married,25545.0,1,32,1,64,16,12,85,3,2,2,3,144.0,14.4,21.0,1,(1/6),16.666666666666664
28,Graduation,Married,32880.0,1,8,4,15,7,6,2,1,1,0,3,809.0,161.8,8.4,0,(0/6),0.0
56,PhD,In-Relationship,77863.0,0,881,38,319,16,25,12,1,4,5,10,361.0,18.05,64.55,0,(0/6),0.0
37,Master,Married,50353.0,0,141,15,153,67,31,35,1,4,4,6,622.0,41.46666666666667,29.466666666666665,0,(0/6),0.0
50,Graduation,Single,61839.0,0,1000,155,379,224,17,120,1,4,8,4,407.0,23.941176470588236,111.47058823529412,0,(0/6),0.0
54,PhD,Married,49154.0,2,206,10,67,30,27,71,6,4,1,8,134.0,7.052631578947368,21.63157894736842,0,(0/6),0.0
39,2n Cycle,Widow,47682.0,1,162,61,83,97,57,61,4,4,3,8,554.0,29.157894736842106,27.42105263157895,0,(0/6),0.0
45,Graduation,Single,72679.0,1,619,54,260,127,54,54,1,4,7,5,500.0,29.41176470588235,68.70588235294117,0,(0/6),0.0
37,Master,In-Relationship,57954.0,2,456,4,24,0,0,9,7,8,2,6,567.0,24.652173913043477,21.434782608695652,1,(1/6),16.666666666666664
52,Graduation,Married,65316.0,2,112,6,92,3,9,38,2,3,2,5,285.0,23.75,21.666666666666668,0,(0/6),0.0
32,Graduation,Single,28567.0,1,11,3,22,2,2,6,2,2,0,3,257.0,36.714285714285715,6.571428571428571,0,(0/6),0.0
63,Master,In-Relationship,47352.0,1,172,12,112,8,0,15,4,6,1,5,448.0,28.0,19.9375,0,(0/6),0.0
47,Graduation,In-Relationship,44931.0,1,78,0,11,0,0,7,1,2,1,3,311.0,44.42857142857143,13.714285714285714,0,(0/6),0.0
47,Graduation,Divorced,76982.0,0,464,151,292,65,60,30,1,8,3,4,357.0,22.3125,66.375,1,(2/6),33.33333333333333
62,2n Cycle,In-Relationship,57247.0,1,99,4,32,37,54,6,2,2,1,7,815.0,67.91666666666667,19.333333333333332,0,(0/6),0.0
33,Master,Single,22944.0,1,19,3,19,4,5,26,3,3,0,3,701.0,77.88888888888889,8.444444444444445,0,(0/6),0.0
37,2n Cycle,In-Relationship,25315.0,1,1,9,8,11,3,22,3,3,0,3,449.0,49.888888888888886,6.0,0,(0/6),0.0
45,Graduation,Widow,43638.0,1,63,10,83,7,19,19,2,4,1,4,513.0,46.63636363636363,18.272727272727273,0,(0/6),0.0
30,PhD,Single,42710.0,1,252,3,42,4,3,102,2,4,5,3,236.0,16.857142857142858,29.0,0,(0/6),0.0
32,PhD,Married,84169.0,0,1478,19,403,0,19,0,1,7,6,6,296.0,14.8,95.95,1,(3/6),50.0
38,Graduation,In-Relationship,54058.0,1,198,18,252,32,108,54,2,4,6,8,331.0,16.55,33.1,0,(0/6),0.0
24,2n Cycle,Married,24683.0,1,8,4,10,6,7,6,2,2,0,4,277.0,34.625,5.125,0,(0/6),0.0
50,Graduation,Widow,85620.0,0,416,46,925,60,107,46,1,3,6,4,215.0,15.357142857142858,114.28571428571429,1,(1/6),16.666666666666664
34,Graduation,Married,47850.0,1,42,7,43,20,12,10,1,3,0,4,213.0,26.625,16.75,0,(0/6),0.0
46,Graduation,Married,19514.0,2,14,3,21,2,1,28,4,3,1,2,205.0,20.5,6.9,1,(2/6),33.33333333333333
41,Master,Married,27159.0,2,17,0,3,0,0,1,2,1,0,3,265.0,44.166666666666664,3.5,0,(0/6),0.0
51,2n Cycle,Single,39548.0,2,15,4,10,3,4,18,2,1,1,3,560.0,80.0,7.714285714285714,0,(0/6),0.0
25,Graduation,Single,21474.0,1,6,16,24,11,0,34,2,3,1,2,358.0,44.75,11.375,1,(2/6),33.33333333333333
43,PhD,Single,60504.0,1,458,0,24,6,4,34,2,6,2,8,778.0,43.22222222222222,29.22222222222222,0,(0/6),0.0
51,Graduation,Married,22419.0,0,30,3,47,19,21,42,1,3,2,2,608.0,76.0,20.25,0,(0/6),0.0
65,Master,Married,81698.0,0,179,28,520,111,123,47,1,3,8,13,573.0,22.92,40.32,1,(1/6),16.666666666666664
62,Graduation,In-Relationship,43462.0,2,90,17,97,15,6,15,6,4,1,5,453.0,28.3125,15.0,0,(0/6),0.0
36,PhD,Single,54880.0,1,308,85,137,102,45,118,2,6,2,11,526.0,25.047619047619047,37.857142857142854,0,(0/6),0.0
32,Graduation,Married,79908.0,0,557,129,761,29,185,111,1,5,6,7,416.0,21.894736842105264,93.26315789473684,1,(1/6),16.666666666666664
44,2n Cycle,Married,15315.0,0,7,4,13,15,8,17,2,2,0,4,501.0,62.625,8.0,0,(0/6),0.0
55,Graduation,In-Relationship,87771.0,1,1492,38,287,50,57,33,1,5,10,4,492.0,24.6,97.85,1,(5/6),83.33333333333334
36,Graduation,Married,33039.0,1,30,8,12,8,8,12,1,2,0,4,288.0,41.142857142857146,11.142857142857142,0,(0/6),0.0
34,Graduation,Single,81741.0,0,249,153,940,58,134,38,0,6,6,7,359.0,18.894736842105264,82.73684210526316,0,(0/6),0.0
43,Master,In-Relationship,71499.0,1,465,25,132,136,0,37,2,8,3,13,145.0,5.576923076923077,30.576923076923077,0,(0/6),0.0
44,2n Cycle,Married,62466.0,1,129,129,259,168,121,83,5,6,3,12,694.0,26.692307692307693,34.19230769230769,0,(0/6),0.0
51,PhD,Divorced,48799.0,1,174,18,81,28,6,24,3,3,2,7,418.0,27.866666666666667,22.066666666666666,0,(0/6),0.0
64,PhD,In-Relationship,52157.0,1,189,2,29,3,2,40,2,3,2,5,482.0,40.166666666666664,22.083333333333332,0,(0/6),0.0
52,Graduation,Single,66565.0,1,747,10,161,65,40,42,4,4,2,9,692.0,36.421052631578945,56.05263157894737,0,(0/6),0.0
63,Master,In-Relationship,29298.0,2,6,0,2,2,0,1,1,1,0,2,778.0,194.5,2.75,0,(0/6),0.0
35,Graduation,Single,47691.0,1,14,0,3,0,0,4,1,1,0,2,276.0,69.0,5.25,0,(0/6),0.0
44,Graduation,In-Relationship,38200.0,2,12,0,4,0,0,1,1,1,0,2,412.0,103.0,4.25,0,(0/6),0.0
40,Graduation,Married,44989.0,1,98,0,106,49,10,106,5,5,1,5,455.0,28.4375,23.0625,0,(0/6),0.0
46,PhD,Married,38443.0,2,32,0,5,0,0,1,2,1,0,3,393.0,65.5,6.333333333333333,0,(0/6),0.0
36,2n Cycle,Single,38593.0,1,51,12,49,17,24,24,3,4,1,3,637.0,57.90909090909091,16.09090909090909,0,(0/6),0.0
44,PhD,In-Relationship,64413.0,1,200,5,44,0,10,20,1,5,1,5,212.0,17.666666666666668,23.25,0,(0/6),0.0
33,Master,Married,36959.0,1,25,6,25,6,0,0,2,2,0,3,433.0,61.857142857142854,8.857142857142858,0,(0/6),0.0
37,PhD,Married,61996.0,1,1050,12,144,0,0,24,3,6,4,8,409.0,19.476190476190474,58.57142857142857,1,(4/6),66.66666666666666
46,Graduation,Married,51287.0,2,117,0,22,13,0,30,3,4,1,3,478.0,43.45454545454545,16.545454545454547,0,(0/6),0.0
44,Graduation,Married,13260.0,2,9,4,17,10,2,7,4,3,0,3,719.0,71.9,4.9,0,(0/6),0.0
48,PhD,In-Relationship,47472.0,2,56,0,11,0,0,8,2,2,0,4,591.0,73.875,9.375,0,(0/6),0.0
58,Master,In-Relationship,54603.0,2,145,13,46,17,2,4,6,4,2,4,375.0,23.4375,14.1875,0,(0/6),0.0
40,PhD,Married,45207.0,2,203,0,10,0,0,2,5,3,1,6,563.0,37.53333333333333,14.333333333333334,1,(1/6),16.666666666666664
63,Graduation,In-Relationship,40689.0,1,270,3,27,39,6,99,7,7,1,5,210.0,10.5,22.2,0,(0/6),0.0
47,2n Cycle,In-Relationship,47821.0,2,9,0,16,6,6,10,1,1,0,3,195.0,39.0,9.4,0,(0/6),0.0
63,Master,Married,27450.0,0,37,12,23,8,11,52,1,2,1,3,767.0,109.57142857142857,20.428571428571427,0,(0/6),0.0
31,Graduation,In-Relationship,39453.0,1,46,0,7,0,0,2,2,2,0,3,411.0,58.714285714285715,7.857142857142857,0,(0/6),0.0
43,2n Cycle,In-Relationship,26850.0,2,31,1,13,7,2,9,4,2,1,4,166.0,15.090909090909092,5.7272727272727275,0,(0/6),0.0
59,Graduation,Widow,79800.0,0,1060,21,530,32,0,224,1,5,11,5,436.0,19.818181818181817,84.86363636363636,1,(4/6),66.66666666666666
53,Master,Married,61794.0,1,264,47,188,54,47,11,2,4,4,10,748.0,37.4,30.55,0,(0/6),0.0
59,Graduation,In-Relationship,53863.0,1,399,4,30,6,4,30,3,7,1,7,687.0,38.166666666666664,26.27777777777778,1,(1/6),16.666666666666664
55,Graduation,In-Relationship,24221.0,0,8,9,9,2,5,22,1,1,1,3,354.0,59.0,9.166666666666666,0,(0/6),0.0
30,PhD,Single,39684.0,1,19,0,35,6,4,17,2,2,1,2,273.0,39.0,11.571428571428571,1,(1/6),16.666666666666664
39,Master,Married,92163.0,0,817,183,797,106,163,20,0,5,11,5,414.0,19.714285714285715,99.33333333333333,1,(3/6),50.0
49,Master,Single,69882.0,0,292,127,635,132,127,165,1,3,7,9,406.0,20.3,73.9,0,(0/6),0.0
37,Graduation,In-Relationship,33178.0,1,12,6,2,11,2,16,1,1,0,3,734.0,146.8,9.8,0,(0/6),0.0
42,PhD,Married,59973.0,0,130,30,168,20,34,0,1,3,4,7,376.0,25.066666666666666,25.466666666666665,0,(0/6),0.0
39,Master,In-Relationship,17459.0,1,6,4,16,3,10,30,3,3,1,2,513.0,57.0,7.666666666666667,1,(1/6),16.666666666666664
45,Graduation,Divorced,23910.0,1,16,12,18,7,1,13,1,2,0,3,804.0,134.0,11.166666666666666,0,(0/6),0.0
45,Master,Married,42169.0,2,19,0,9,0,0,2,2,1,0,3,616.0,102.66666666666667,5.0,0,(0/6),0.0
36,2n Cycle,Married,26224.0,1,4,7,15,13,9,15,3,2,1,3,790.0,87.77777777777777,7.0,0,(0/6),0.0
33,Graduation,In-Relationship,31089.0,1,31,3,31,2,8,4,3,3,0,4,408.0,40.8,7.9,0,(0/6),0.0
53,Graduation,Single,30081.0,1,36,0,2,0,0,4,1,1,0,3,690.0,138.0,8.4,0,(0/6),0.0
54,Graduation,In-Relationship,62807.0,1,526,28,135,10,21,99,3,5,3,12,642.0,27.91304347826087,35.608695652173914,0,(0/6),0.0
59,Graduation,Single,72906.0,0,400,32,519,71,75,54,1,3,4,9,670.0,39.411764705882355,67.70588235294117,0,(0/6),0.0
66,PhD,Married,61467.0,2,410,16,114,0,5,49,3,5,2,10,261.0,13.05,29.7,0,(0/6),0.0
48,Master,In-Relationship,49618.0,2,80,3,26,4,2,14,4,3,1,3,598.0,54.36363636363637,11.727272727272727,0,(0/6),0.0
28,Master,Single,21888.0,1,88,10,46,2,3,64,4,5,1,2,734.0,61.166666666666664,17.75,1,(1/6),16.666666666666664
41,Graduation,Widow,42429.0,1,55,0,6,2,0,4,2,1,1,3,176.0,25.142857142857142,9.571428571428571,0,(0/6),0.0
58,Graduation,Divorced,26150.0,3,5,1,13,3,5,1,1,1,0,3,437.0,87.4,5.6,0,(0/6),0.0
39,Basic,Married,30801.0,1,8,4,5,15,2,11,2,1,0,3,469.0,78.16666666666667,7.5,0,(0/6),0.0
49,Graduation,Married,81168.0,0,410,0,592,147,22,22,1,6,4,7,688.0,38.22222222222222,66.27777777777777,1,(1/6),16.666666666666664
45,Master,Single,26877.0,0,101,13,76,20,18,40,2,3,1,6,367.0,30.583333333333332,22.333333333333332,0,(0/6),0.0
70,Master,Widow,45006.0,0,162,25,53,16,0,10,1,3,1,7,720.0,60.0,22.166666666666668,0,(0/6),0.0
41,Basic,Married,18978.0,1,2,8,1,4,7,15,1,1,0,3,461.0,92.2,7.4,0,(0/6),0.0
47,Graduation,Married,22574.0,3,25,0,8,2,0,2,2,2,0,3,542.0,77.42857142857143,5.285714285714286,0,(0/6),0.0
45,PhD,Single,48240.0,0,389,91,248,64,49,41,3,6,3,13,514.0,20.56,35.28,1,(1/6),16.666666666666664
40,Graduation,Married,45837.0,2,215,13,87,17,17,24,5,6,2,5,591.0,32.833333333333336,20.72222222222222,0,(0/6),0.0
49,Master,Single,35791.0,3,27,0,5,0,0,3,2,1,0,3,804.0,134.0,5.833333333333333,0,(0/6),0.0
38,PhD,In-Relationship,162397.0,2,85,1,16,2,1,2,0,0,0,1,476.0,476.0,107.0,0,(0/6),0.0
36,Graduation,Widow,54162.0,2,5,6,10,6,5,10,1,1,0,3,473.0,94.6,8.4,0,(0/6),0.0
54,Master,Married,30522.0,1,179,8,83,19,11,26,5,1,2,9,234.0,13.764705882352942,19.176470588235293,0,(0/6),0.0
53,PhD,Married,54456.0,1,352,0,27,10,0,15,3,6,1,7,306.0,18.0,23.764705882352942,0,(0/6),0.0
43,Graduation,Single,31632.0,0,17,8,12,11,15,32,1,2,1,2,514.0,85.66666666666667,15.833333333333334,0,(0/6),0.0
65,Graduation,Widow,72298.0,0,625,35,169,58,17,35,1,4,3,6,648.0,46.285714285714285,67.07142857142857,1,(2/6),33.33333333333333
36,2n Cycle,Single,36975.0,1,10,6,11,0,4,2,1,1,0,3,514.0,102.8,6.6,0,(0/6),0.0
59,2n Cycle,Married,72635.0,0,390,22,323,104,35,107,1,6,8,6,769.0,36.61904761904762,46.714285714285715,1,(1/6),16.666666666666664
38,Graduation,Married,13624.0,1,10,2,15,2,1,6,2,2,0,3,784.0,112.0,5.142857142857143,0,(0/6),0.0
39,Graduation,Single,84196.0,1,215,63,507,231,31,190,1,8,4,7,681.0,34.05,61.85,0,(0/6),0.0
54,Graduation,In-Relationship,70971.0,1,1001,17,572,93,125,17,7,11,11,5,345.0,10.147058823529411,53.6764705882353,1,(1/6),16.666666666666664
37,PhD,Divorced,34487.0,2,19,18,33,24,1,8,3,3,0,3,139.0,15.444444444444445,11.444444444444445,0,(0/6),0.0
37,Graduation,Single,28769.0,1,41,5,129,10,3,3,3,4,1,4,288.0,24.0,15.916666666666666,0,(0/6),0.0
44,PhD,Married,69084.0,1,1181,107,199,39,30,30,2,7,3,13,257.0,10.28,63.44,0,(0/6),0.0
56,PhD,In-Relationship,65488.0,0,603,45,207,36,18,54,1,3,4,6,560.0,40.0,68.78571428571429,0,(0/6),0.0
44,2n Cycle,Married,62466.0,1,129,129,259,168,121,83,5,6,3,12,234.0,9.0,34.19230769230769,0,(0/6),0.0
54,2n Cycle,Single,32218.0,0,10,24,15,13,1,30,1,2,1,3,513.0,73.28571428571429,13.285714285714286,1,(2/6),33.33333333333333
41,Graduation,Single,83917.0,0,514,22,732,42,198,79,1,6,7,7,660.0,31.428571428571427,75.57142857142857,1,(1/6),16.666666666666664
52,Graduation,Divorced,46102.0,3,14,0,1,0,0,1,1,1,0,2,762.0,190.5,4.0,0,(0/6),0.0
62,Graduation,Single,84574.0,0,387,20,713,38,54,163,1,9,11,11,358.0,11.1875,42.96875,0,(0/6),0.0
52,Graduation,Married,56181.0,1,121,103,69,8,44,48,1,4,2,7,755.0,53.92857142857143,28.071428571428573,0,(0/6),0.0
64,Master,Divorced,63120.0,1,965,69,279,54,41,69,5,8,4,9,170.0,6.538461538461538,56.80769230769231,1,(1/6),16.666666666666664
43,Graduation,Married,73691.0,1,707,21,250,85,43,73,2,6,2,8,669.0,37.166666666666664,65.5,1,(1/6),16.666666666666664
54,Graduation,In-Relationship,63381.0,1,571,50,142,33,50,159,4,4,5,13,541.0,20.807692307692307,38.65384615384615,0,(0/6),0.0
66,PhD,In-Relationship,76140.0,0,586,66,653,17,0,26,1,5,9,6,599.0,28.523809523809526,64.19047619047619,0,(0/6),0.0
55,PhD,Divorced,62859.0,1,1063,89,102,16,12,25,4,9,4,6,438.0,19.043478260869566,56.82608695652174,0,(0/6),0.0
50,Graduation,Single,45906.0,1,305,3,27,4,3,144,2,5,4,4,647.0,43.13333333333333,32.4,1,(1/6),16.666666666666664
67,Master,In-Relationship,77632.0,0,1200,105,758,0,42,147,1,4,2,6,321.0,24.692307692307693,173.23076923076923,1,(3/6),50.0
43,PhD,Married,46463.0,2,163,2,40,8,11,11,7,3,1,6,160.0,9.411764705882353,13.823529411764707,0,(0/6),0.0
44,Graduation,In-Relationship,105471.0,0,1009,181,104,202,21,207,0,9,8,13,409.0,13.633333333333333,57.46666666666667,1,(3/6),50.0
44,Master,Divorced,55282.0,1,125,6,73,8,4,19,1,3,1,6,255.0,23.181818181818183,21.363636363636363,0,(0/6),0.0
37,Master,Married,78710.0,1,721,0,152,119,50,50,3,7,6,12,794.0,28.357142857142858,39.0,0,(0/6),0.0
56,Graduation,In-Relationship,66886.0,1,315,4,62,41,31,146,2,7,1,7,809.0,47.588235294117645,35.23529411764706,0,(0/6),0.0
54,Master,Single,98777.0,0,1000,19,711,125,115,38,0,4,6,9,200.0,10.526315789473685,105.6842105263158,1,(1/6),16.666666666666664
29,Graduation,In-Relationship,29103.0,1,16,0,17,6,3,6,2,1,0,3,818.0,136.33333333333334,8.0,0,(0/6),0.0
40,Graduation,Married,67445.0,1,757,80,217,29,80,11,5,9,6,12,265.0,8.28125,36.6875,0,(0/6),0.0
64,PhD,In-Relationship,50616.0,1,30,2,25,0,1,9,1,1,1,4,299.0,42.714285714285715,9.571428571428571,0,(0/6),0.0
59,Graduation,Divorced,49431.0,1,219,3,100,26,0,17,2,7,1,5,768.0,51.2,24.333333333333332,0,(0/6),0.0
61,Graduation,In-Relationship,61278.0,1,111,3,28,2,6,15,2,3,1,4,374.0,37.4,16.5,0,(0/6),0.0
56,2n Cycle,In-Relationship,26490.0,0,45,47,52,21,20,25,2,3,1,5,692.0,62.90909090909091,19.09090909090909,0,(0/6),0.0
67,PhD,In-Relationship,73059.0,1,410,112,420,0,82,71,1,9,3,13,350.0,13.461538461538462,42.11538461538461,0,(0/6),0.0
48,PhD,Single,46734.0,3,100,1,39,6,1,76,4,3,2,3,309.0,25.75,18.583333333333332,1,(1/6),16.666666666666664
51,Graduation,In-Relationship,56253.0,1,509,0,65,7,11,5,4,7,2,9,783.0,35.59090909090909,27.136363636363637,0,(0/6),0.0
29,Graduation,Married,19986.0,1,3,6,5,0,2,6,1,0,0,3,667.0,166.75,5.5,0,(0/6),0.0
39,Graduation,Widow,58330.0,1,445,53,213,104,98,151,1,6,4,13,671.0,27.958333333333332,44.333333333333336,0,(0/6),0.0
34,Basic,Married,25965.0,0,2,2,11,41,7,11,1,2,0,3,532.0,88.66666666666667,12.333333333333334,0,(0/6),0.0
58,Master,In-Relationship,14661.0,0,4,1,11,6,2,2,1,1,0,3,400.0,80.0,5.2,0,(0/6),0.0
55,Graduation,Married,18690.0,0,6,1,7,23,4,19,1,1,1,2,539.0,107.8,12.0,0,(0/6),0.0
40,PhD,In-Relationship,45068.0,1,14,0,3,0,0,3,1,1,0,2,357.0,89.25,5.0,0,(0/6),0.0
27,Basic,Single,21063.0,1,1,10,11,19,3,15,2,2,0,3,458.0,65.42857142857143,8.428571428571429,0,(0/6),0.0
46,PhD,Married,29187.0,1,26,0,6,0,0,2,1,1,0,3,356.0,71.2,6.8,0,(0/6),0.0
43,2n Cycle,Married,54690.0,2,111,16,37,7,9,18,3,3,1,5,778.0,64.83333333333333,16.5,0,(0/6),0.0
50,PhD,Married,59304.0,1,418,61,428,80,51,10,3,7,8,10,318.0,11.357142857142858,37.42857142857143,0,(0/6),0.0
52,Master,Single,59247.0,2,327,9,122,19,14,83,5,5,2,9,698.0,33.23809523809524,27.333333333333332,0,(0/6),0.0
44,Graduation,Widow,66731.0,1,371,159,194,58,106,141,4,4,3,6,161.0,9.470588235294118,60.529411764705884,0,(0/6),0.0
34,Graduation,Married,77353.0,1,275,59,107,69,101,59,2,6,4,8,730.0,36.5,33.5,0,(0/6),0.0
39,PhD,Single,52614.0,1,789,0,142,12,9,38,2,2,4,8,301.0,18.8125,61.875,0,(0/6),0.0
40,Graduation,Married,26751.0,2,1,1,5,0,3,1,1,1,0,2,501.0,125.25,2.75,0,(0/6),0.0
51,PhD,Married,81300.0,1,1004,12,145,32,12,36,3,10,3,5,311.0,14.80952380952381,59.095238095238095,1,(2/6),33.33333333333333
35,Graduation,Single,70337.0,0,187,81,149,25,43,91,1,2,2,12,377.0,22.176470588235293,33.88235294117647,0,(0/6),0.0
29,2n Cycle,Married,36145.0,1,56,4,76,17,1,18,4,4,1,3,791.0,65.91666666666667,14.333333333333334,1,(2/6),33.33333333333333
34,PhD,Single,65295.0,0,365,32,117,34,110,6,1,3,3,13,462.0,23.1,33.2,0,(0/6),0.0
51,Graduation,Divorced,68118.0,1,595,23,123,10,23,154,2,8,9,4,371.0,16.130434782608695,40.34782608695652,0,(0/6),0.0
47,Graduation,Divorced,68743.0,0,1132,134,384,175,134,115,1,11,5,13,315.0,10.5,69.13333333333334,0,(0/6),0.0
32,2n Cycle,In-Relationship,41039.0,0,34,11,137,179,61,45,1,8,1,5,602.0,40.13333333333333,31.133333333333333,0,(0/6),0.0
59,Graduation,In-Relationship,38946.0,1,116,6,82,6,6,41,2,3,1,6,778.0,64.83333333333333,21.416666666666668,0,(0/6),0.0
47,Graduation,In-Relationship,65777.0,0,565,32,435,28,32,54,1,2,8,6,817.0,48.05882352941177,67.41176470588235,0,(0/6),0.0
38,PhD,Divorced,66476.0,1,372,18,126,47,48,78,2,5,2,11,167.0,8.35,34.45,0,(0/6),0.0
42,PhD,Single,86857.0,0,899,102,838,133,102,40,1,5,6,10,395.0,17.954545454545453,96.0909090909091,1,(1/6),16.666666666666664
32,PhD,Married,160803.0,0,55,16,1622,17,3,4,15,0,28,1,756.0,17.181818181818183,39.02272727272727,0,(0/6),0.0
25,PhD,In-Relationship,77845.0,0,760,40,480,0,40,26,1,3,5,12,431.0,20.523809523809526,64.0952380952381,1,(2/6),33.33333333333333
45,PhD,In-Relationship,69476.0,0,260,86,559,63,9,67,1,4,6,4,475.0,31.666666666666668,69.6,0,(0/6),0.0
54,PhD,Divorced,50611.0,1,459,0,24,6,0,4,6,4,5,7,362.0,16.454545454545453,22.40909090909091,1,(2/6),33.33333333333333
44,Graduation,Single,61209.0,0,466,0,224,119,49,99,1,5,3,4,519.0,39.92307692307692,73.61538461538461,0,(0/6),0.0
56,Master,In-Relationship,42315.0,1,67,15,80,17,11,80,3,1,4,4,461.0,38.416666666666664,22.5,0,(0/6),0.0
62,Basic,In-Relationship,13084.0,0,2,0,7,3,7,10,1,1,0,3,218.0,43.6,5.8,0,(0/6),0.0
65,Master,Widow,47570.0,2,67,1,20,0,2,31,3,2,2,2,570.0,63.333333333333336,13.444444444444445,1,(1/6),16.666666666666664
53,Master,Married,61923.0,2,92,4,18,3,3,6,1,2,1,4,361.0,45.125,15.75,0,(0/6),0.0
19,Graduation,Single,34824.0,0,4,2,11,2,0,4,1,1,0,2,204.0,51.0,5.75,0,(0/6),0.0
65,PhD,Single,26518.0,2,20,1,28,3,3,2,3,2,0,3,408.0,51.0,7.125,1,(1/6),16.666666666666664
53,Graduation,Single,45938.0,0,273,11,178,62,83,29,2,8,4,6,232.0,11.6,31.8,0,(0/6),0.0
54,Graduation,In-Relationship,78468.0,0,434,22,388,104,22,34,1,10,7,10,261.0,9.321428571428571,35.857142857142854,1,(1/6),16.666666666666664
41,Graduation,Divorced,78901.0,1,321,11,309,33,26,34,3,9,3,5,184.0,9.2,36.7,0,(0/6),0.0
36,Graduation,Married,71427.0,2,212,123,177,15,64,23,2,8,2,8,308.0,15.4,30.7,0,(0/6),0.0
36,Graduation,Divorced,71022.0,1,909,12,278,0,12,242,3,5,2,11,658.0,31.333333333333332,69.19047619047619,1,(1/6),16.666666666666664
26,Master,Single,90247.0,0,1184,32,352,21,16,16,1,3,4,7,125.0,8.333333333333334,108.06666666666666,1,(4/6),66.66666666666666
46,Master,Divorced,41335.0,1,112,19,21,16,14,5,3,4,1,4,568.0,47.333333333333336,15.583333333333334,0,(0/6),0.0
28,Graduation,Married,71952.0,1,656,80,455,52,107,93,2,8,4,8,343.0,15.590909090909092,65.5909090909091,1,(2/6),33.33333333333333
44,PhD,Divorced,35682.0,1,23,0,8,6,2,18,1,1,1,3,658.0,109.66666666666667,9.5,0,(0/6),0.0
63,Graduation,Divorced,43185.0,1,537,6,42,16,6,30,2,9,3,6,475.0,23.75,31.85,0,(0/6),0.0
66,PhD,In-Relationship,66375.0,1,712,0,45,0,0,191,3,2,4,5,739.0,52.785714285714285,67.71428571428571,1,(1/6),16.666666666666664
43,Master,Married,35178.0,1,23,1,13,2,2,18,1,1,1,2,617.0,123.4,11.8,1,(2/6),33.33333333333333
28,Graduation,Married,25252.0,1,1,3,4,2,2,6,1,1,0,2,534.0,133.5,4.5,0,(0/6),0.0
49,Master,Single,55250.0,1,664,58,83,32,0,66,4,7,5,10,449.0,17.26923076923077,34.73076923076923,0,(0/6),0.0
39,Graduation,Single,33249.0,1,6,10,21,19,14,42,2,2,1,3,692.0,86.5,14.0,0,(0/6),0.0
61,Graduation,In-Relationship,58398.0,0,299,5,201,21,21,49,3,5,4,8,767.0,38.35,29.8,0,(0/6),0.0
32,Graduation,In-Relationship,50272.0,1,99,13,66,43,8,4,3,4,1,5,626.0,48.15384615384615,17.923076923076923,0,(0/6),0.0
39,PhD,Married,76618.0,0,749,40,294,121,160,147,1,3,2,5,578.0,52.54545454545455,137.36363636363637,0,(0/6),0.0
54,2n Cycle,Divorced,87305.0,0,345,25,501,63,138,80,1,5,3,8,215.0,12.647058823529411,67.76470588235294,1,(2/6),33.33333333333333
36,Graduation,In-Relationship,25851.0,1,9,4,18,7,5,5,2,2,0,3,680.0,97.14285714285714,6.857142857142857,0,(0/6),0.0
44,Graduation,Divorced,58710.0,1,440,81,368,0,122,174,6,11,5,9,546.0,17.612903225806452,38.225806451612904,0,(0/6),0.0
56,Graduation,Single,45160.0,2,8,2,5,3,0,3,1,1,0,2,160.0,40.0,5.25,0,(0/6),0.0
49,Master,Married,74806.0,1,670,9,249,0,28,9,2,5,4,5,624.0,39.0,60.3125,0,(0/6),0.0
60,Graduation,Married,59111.0,0,524,0,134,28,28,155,1,11,1,8,820.0,39.04761904761905,41.38095238095238,0,(0/6),0.0
30,PhD,Married,18988.0,1,6,0,6,2,1,1,2,1,0,3,144.0,24.0,2.6666666666666665,0,(0/6),0.0
49,Graduation,Married,72190.0,0,597,166,597,172,166,249,1,5,6,4,341.0,21.3125,121.6875,0,(0/6),0.0
38,Graduation,Married,7500.0,1,7,0,12,13,7,32,5,4,1,2,278.0,23.166666666666668,5.916666666666667,1,(2/6),33.33333333333333
48,Graduation,Married,44794.0,1,54,0,7,0,0,4,1,2,0,3,384.0,64.0,10.833333333333334,0,(0/6),0.0
59,Graduation,Married,80395.0,0,445,25,706,80,76,48,1,6,5,12,563.0,23.458333333333332,57.5,1,(1/6),16.666666666666664
38,Master,Divorced,75012.0,0,294,142,218,164,58,151,1,3,8,11,398.0,17.304347826086957,44.65217391304348,0,(0/6),0.0
